CODE,DATE,GENERATION,YEAR,LOCATION,TREE,TREE WRIENTATIWN,PLANT PART,TREATMENT,INITIAL N1,SURVIVORS,PREDATED SCALES,PARASITISED SCALES,MORTALITY,PARASITISM,CORRECTED MORTALITY,,,,,
MH1E,9/19/14,2nd,1,Algimia,1,E,Leaf,Predation,18,0,18,0,100.0,0.0,100.00,,,Mean Initial N1,Mean Survivors,
MH2O,9/19/14,2nd,1,Algimia,2,W,Leaf,Semi_Exclusion,19,1,18,2,94.7,10.5,87.25,,Algimia,,,
MH2S,9/19/14,2nd,1,Algimia,2,S,Leaf,Exclusion,19,11,8,0,42.1,0.0,-40.22,,9/19/14,22.05,9.11,
MH3N,9/19/14,2nd,1,Algimia,3,N,Leaf,Semi_Exclusion,20,7,13,0,65.0,0.0,15.23,,12/2/14,20.64,7.82,
MH4N,9/19/14,2nd,1,Algimia,4,N,Leaf,Predation,10,3,7,0,70.0,0.0,27.34,,7/14/15,22.08,7.50,
MH4S,9/19/14,2nd,1,Algimia,4,S,Leaf,Semi_Exclusion,24,0,24,0,100.0,0.0,100.00,,9/17/15,21.17,3.61,
MH5E,9/19/14,2nd,1,Algimia,5,E,Leaf,Exclusion,32,10,22,0,68.8,0.0,24.31,,11/26/15,17.26,8.21,
MH5O,9/19/14,2nd,1,Algimia,5,W,Leaf,Predation,14,8,6,0,42.9,0.0,-38.40,,IVIA,,,
MH6N,9/19/14,2nd,1,Algimia,6,N,Leaf,Predation,27,1,26,1,96.3,3.7,91.03,,9/16/14,24.95,9.95,
MH6O,9/19/14,2nd,1,Algimia,6,W,Leaf,Exclusion,13,4,9,0,69.2,0.0,25.48,,12/2/14,20.80,8.40,
MH6S,9/19/14,2nd,1,Algimia,6,S,Leaf,Predation,23,0,23,0,100.0,0.0,100.00,,7/16/15,27.07,10.71,
MH7E,9/19/14,2nd,1,Algimia,7,E,Leaf,Exclusion,25,10,15,0,60.0,0.0,3.12,,9/17/15,24.89,11.61,
MH7N,9/19/14,2nd,1,Algimia,7,N,Leaf,Predation,39,1,38,0,97.4,0.0,93.79,,11/26/15,27.38,12.67,
MH7O,9/19/14,2nd,1,Algimia,7,W,Leaf,Exclusion,16,4,12,0,75.0,0.0,39.45,,7/27/16,28.00,9.30,
MH7S,9/19/14,2nd,1,Algimia,7,S,Leaf,Semi_Exclusion,36,0,36,1,100.0,2.8,100.00,,Algimia,,,
MH8E,9/19/14,2nd,1,Algimia,8,E,Leaf,Exclusion,22,4,18,0,81.8,0.0,55.96,,7/28/16,27.30,5.90,
MH9E,9/19/14,2nd,1,Algimia,9,E,Leaf,Predation,33,0,33,0,100.0,0.0,100.00,,,,,
MH10E,9/19/14,2nd,1,Algimia,10,E,Leaf,Exclusion,36,7,29,0,80.6,0.0,52.91,,,,,
MH10N,9/19/14,2nd,1,Algimia,10,N,Leaf,Semi_Exclusion,30,16,14,0,46.7,0.0,-29.17,,,,,
MH11E,9/19/14,2nd,1,Algimia,11,E,Leaf,Predation,19,0,19,0,100.0,0.0,100.00,,,,,
MH12N,9/19/14,2nd,1,Algimia,12,N,Leaf,Semi_Exclusion,13,5,8,0,61.5,0.0,6.85,,,,,
MH12O,9/19/14,2nd,1,Algimia,12,W,Leaf,Exclusion,11,5,6,0,54.5,0.0,-10.09,,,,,
MH12S,9/19/14,2nd,1,Algimia,12,S,Leaf,Semi_Exclusion,16,5,11,0,68.8,0.0,24.31,,,,,
MH13S,9/19/14,2nd,1,Algimia,13,S,Leaf,Predation,10,1,9,0,90.0,0.0,75.78,,,,,
MF1E,9/19/14,2nd,1,Algimia,1,E,Fruit,Semi_Exclusion,14,1,13,0,92.9,0.0,82.70,,,,,
MF1O,9/19/14,2nd,1,Algimia,1,W,Fruit,Predation,10,0,10,0,100.0,0.0,100.00,,,,,
MF1S,9/19/14,2nd,1,Algimia,1,S,Fruit,Predation,18,3,15,0,83.3,0.0,59.63,,,,,
MF2N,9/19/14,2nd,1,Algimia,2,N,Fruit,Exclusion,30,3,27,0,90.0,0.0,75.78,,,,,
MF2O,9/19/14,2nd,1,Algimia,2,W,Fruit,Exclusion,15,2,13,0,86.7,0.0,67.71,,,,,
MF2S,9/19/14,2nd,1,Algimia,2,S,Fruit,Exclusion,11,3,8,0,72.7,0.0,33.95,,,,,
MF3N,9/19/14,2nd,1,Algimia,3,N,Fruit,Predation,11,0,11,1,100.0,9.1,100.00,,,,,
MF3O,9/19/14,2nd,1,Algimia,3,W,Fruit,Predation,27,1,26,3,96.3,11.1,91.03,,,,,
